City,Hotel Name,Value,Cleanliness,Room,Location,Service,Overall
chicago,usa illinois chicago club quarters chicago central loop,1.22,4.71,0.0,4.76,5.0,3.138
chicago,usa illinois chicago club quarters chicago wacker at michigan,0.0,5.0,0.0,3.33,0.0,1.666
chicago,usa illinois chicago comfort inn suites downtown,1.09,4.78,2.5,5.0,5.0,3.6740000000000004
chicago,usa illinois chicago comfort suites,1.0,5.0,0.0,5.0,5.0,3.2
chicago,usa illinois chicago congress plaza hotel,2.38,2.91,0.0,4.41,5.0,2.94
chicago,usa illinois chicago conrad chicago,0.0,4.43,1.25,5.0,5.0,3.136
chicago,usa illinois chicago courtyard by marriott chicago downtown,2.14,5.0,2.5,5.0,3.0,3.528
chicago,usa illinois chicago courtyard by marriott chicago downtown magnificent mile,0.0,4.89,0.0,5.0,5.0,2.978
chicago,usa illinois chicago courtyard chicago midway airport,0.0,3.57,5.0,5.0,0.0,2.714
chicago,usa illinois chicago crowne plaza chicago the metro,0.0,4.78,2.5,3.89,5.0,3.2340000000000004
chicago,usa illinois chicago dana hotel spa,1.43,5.0,0.0,5.0,1.67,2.62
chicago,usa illinois chicago days inn chicago,2.86,4.61,0.0,4.71,5.0,3.436
chicago,usa illinois chicago delaware towers,5.0,0.0,0.0,5.0,0.0,2.0
chicago,usa illinois chicago doubletree hotel chicago magnificent mile,0.29,4.54,5.0,5.0,5.0,3.9659999999999997
chicago,usa illinois chicago embassy suites hotel chicago downtown,0.0,4.53,0.45,5.0,5.0,2.996
chicago,usa illinois chicago embassy suites hotel chicago downtown lakefront,0.0,4.59,0.0,5.0,5.0,2.918
chicago,usa illinois chicago extended stay america chicago skokie,5.0,3.0,5.0,5.0,0.0,3.6
chicago,usa illinois chicago fairfield inn chicago midway airport,0.0,5.0,0.0,5.0,0.0,2.0
chicago,usa illinois chicago fairfield inn suites chicago downtown,0.77,5.0,1.67,5.0,5.0,3.4879999999999995
chicago,usa illinois chicago fairmont chicago millennium park,0.0,4.07,2.5,5.0,5.0,3.314
chicago,usa illinois chicago four points by sheraton chicago downtown magnificent mile,0.52,4.9,0.56,5.0,5.0,3.196
chicago,usa illinois chicago four points by sheraton chicago midway airport,2.5,5.0,5.0,2.5,5.0,4.0
chicago,usa illinois chicago four points by sheraton chicago o hare airport,4.09,2.24,0.0,5.0,0.0,2.266
chicago,usa illinois chicago four seasons hotel chicago,0.0,3.64,2.5,5.0,5.0,3.228
chicago,usa illinois chicago habitat corporate suites at presidential towers,0.0,5.0,0.0,5.0,0.0,2.0
chicago,usa illinois chicago hampton inn and suites chicago downtown,0.0,4.6,3.33,5.0,5.0,3.586
chicago,usa illinois chicago hampton inn majestic chicago,1.3,5.0,3.89,5.0,5.0,4.037999999999999
chicago,usa illinois chicago hard rock hotel chicago,0.0,3.96,1.47,5.0,5.0,3.086
chicago,usa illinois chicago heart o chicago motel,2.69,4.73,1.67,5.0,5.0,3.818
chicago,usa illinois chicago hilton chicago,0.0,4.33,1.11,4.82,5.0,3.0520000000000005
chicago,usa illinois chicago hilton chicago o hare airport,0.0,4.68,0.0,5.0,5.0,2.936
chicago,usa illinois chicago hilton garden inn chicago downtown magnificent mile,3.16,4.88,3.89,5.0,5.0,4.386
chicago,usa illinois chicago hilton suites chicago magnificent mile,0.22,4.78,0.45,5.0,5.0,3.09
chicago,usa illinois chicago holiday inn chicago mart plaza,3.0,4.83,2.14,5.0,5.0,3.9939999999999998
chicago,usa illinois chicago holiday inn chicago midway airport,0.0,5.0,0.0,0.0,5.0,2.0
chicago,usa illinois chicago holiday inn chicago o hare,5.0,4.5,0.0,5.0,5.0,3.9
chicago,usa illinois chicago holiday inn express chicago midway airport,1.67,5.0,0.0,0.0,5.0,2.334
chicago,usa illinois chicago holiday inn hotel suites downtown,2.5,4.57,0.0,4.0,5.0,3.214
chicago,usa illinois chicago homewood suites by hilton chicago downtown,0.92,4.62,2.33,4.86,5.0,3.5460000000000003
chicago,usa illinois chicago hotel 71,0.56,4.31,1.0,5.0,5.0,3.174
chicago,usa illinois chicago hotel allegro chicago a kimpton hotel,2.09,4.24,1.19,4.79,4.09,3.28
chicago,usa illinois chicago hotel blake,0.76,4.25,1.67,4.0,5.0,3.136
chicago,usa illinois chicago hotel burnham a kimpton hotel,0.0,4.58,1.67,5.0,4.47,3.1439999999999997
chicago,usa illinois chicago hotel cass holiday inn express,1.58,4.41,0.0,5.0,5.0,3.198
chicago,usa illinois chicago hotel felix,0.71,5.0,0.0,5.0,5.0,3.1420000000000003
chicago,usa illinois chicago hotel indigo chicago downtown gold coast,0.0,4.46,1.67,5.0,5.0,3.226
chicago,usa illinois chicago hotel monaco chicago a kimpton hotel,1.59,4.91,3.33,5.0,5.0,3.9659999999999997
chicago,usa illinois chicago hotel sax chicago,0.0,4.5,1.25,4.63,5.0,3.0759999999999996
chicago,usa illinois chicago howard johnson inn downtown chicago,0.0,3.57,0.0,5.0,5.0,2.714
chicago,usa illinois chicago hyatt regency chicago,0.0,4.0,3.13,4.87,5.0,3.4
chicago,usa illinois chicago hyatt regency mccormick place,0.0,4.28,2.5,4.0,5.0,3.156
chicago,usa illinois chicago inn at lincoln park,2.5,4.0,0.0,5.0,1.67,2.634
chicago,usa illinois chicago inn of chicago magnificent mile,1.14,4.56,0.0,5.0,5.0,3.1399999999999997
chicago,usa illinois chicago intercontinental chicago,0.0,4.35,2.6,5.0,4.09,3.2079999999999997
chicago,usa illinois chicago james chicago,1.07,4.2,2.0,5.0,4.5,3.354
chicago,usa illinois chicago la quinta inn suites chicago downtown,0.0,5.0,0.0,5.0,0.0,2.0
chicago,usa illinois chicago la quinta inn suites chicago northshore,0.0,5.0,0.0,0.0,0.0,1.0
chicago,usa illinois chicago majestic hotel,0.0,5.0,0.0,5.0,5.0,3.0
chicago,usa illinois chicago marriott chicago downtown magnificent mile,0.0,4.62,0.71,5.0,5.0,3.066
chicago,usa illinois chicago marriott chicago midway,0.0,5.0,5.0,5.0,0.0,3.0
chicago,usa illinois chicago midway inn,5.0,5.0,0.0,0.0,0.0,2.0
chicago,usa illinois chicago millennium knickerbocker hotel chicago,1.94,4.02,0.0,5.0,5.0,3.1919999999999997
chicago,usa illinois chicago milshire hotel,0.0,0.0,0.0,5.0,0.0,1.0
chicago,usa illinois chicago oakwood apartments,0.0,0.0,0.0,0.0,0.0,0.0
chicago,usa illinois chicago ohio house motel,2.14,4.3,5.0,5.0,0.0,3.2879999999999994
chicago,usa illinois chicago omni chicago hotel,0.13,4.91,1.43,5.0,4.38,3.1699999999999995
chicago,usa illinois chicago palwaukee inn conference center,0.0,3.89,0.0,0.0,0.0,0.778
chicago,usa illinois chicago park hyatt chicago,0.0,4.26,5.0,5.0,5.0,3.8519999999999994
chicago,usa illinois chicago ramada inn lake shore chicago,2.27,3.28,0.0,5.0,5.0,3.1100000000000003
chicago,usa illinois chicago red roof inn,2.25,2.61,0.0,5.0,5.0,2.972
chicago,usa illinois chicago renaissance chicago hotel,2.06,4.88,3.0,5.0,5.0,3.9879999999999995
chicago,usa illinois chicago renaissance chicago o hare suites hotel,0.0,4.73,3.57,5.0,5.0,3.66
chicago,usa illinois chicago residence inn chicago downtown,1.67,4.74,5.0,5.0,5.0,4.282
chicago,usa illinois chicago residence inn chicago downtown river north,0.0,4.56,2.5,5.0,5.0,3.412
chicago,usa illinois chicago residence inn chicago midway,0.0,5.0,5.0,0.0,0.0,2.0
chicago,usa illinois chicago river hotel,2.62,4.38,0.0,4.73,5.0,3.346
chicago,usa illinois chicago ruby room,5.0,5.0,0.0,5.0,0.0,3.0
chicago,usa illinois chicago seneca hotel,1.03,4.15,0.0,4.83,3.89,2.7800000000000002
chicago,usa illinois chicago sheffield house,3.18,1.67,0.0,2.14,0.0,1.3980000000000001
chicago,usa illinois chicago sheraton chicago hotel and towers,0.19,4.18,1.56,5.0,5.0,3.186
chicago,usa illinois chicago sheraton chicago northwest,0.71,3.11,1.67,3.75,0.0,1.848
chicago,usa illinois chicago skylark motel,1.67,3.0,0.0,5.0,0.0,1.934
chicago,usa illinois chicago sofitel chicago water tower,0.0,4.84,3.7,5.0,5.0,3.7079999999999997
chicago,usa illinois chicago springhill suites chicago downtown river north,0.83,4.42,1.0,5.0,5.0,3.25
chicago,usa illinois chicago springhill suites chicago o hare,1.36,4.57,0.0,0.71,5.0,2.3280000000000003
chicago,usa illinois chicago super 8 chicago loyola university,5.0,5.0,0.0,5.0,0.0,3.0
chicago,usa illinois chicago super 8 chicago o hare south,5.0,3.13,0.0,5.0,5.0,3.626
chicago,usa illinois chicago swissotel chicago,0.0,4.84,3.57,4.66,5.0,3.614
chicago,usa illinois chicago thewit hotel,0.0,5.0,0.71,5.0,5.0,3.1420000000000003
chicago,usa illinois chicago the blackstone a renaissance hotel,0.0,4.39,1.67,5.0,5.0,3.2119999999999997
chicago,usa illinois chicago the drake,0.0,3.85,0.38,5.0,4.09,2.664
chicago,usa illinois chicago the fisher building,0.0,5.0,0.0,0.0,0.0,1.0
chicago,usa illinois chicago the palmer house hilton,0.0,4.02,0.45,5.0,5.0,2.8939999999999997
chicago,usa illinois chicago the peninsula chicago,0.0,5.0,1.67,5.0,5.0,3.3340000000000005
chicago,usa illinois chicago the raffaello hotel,0.0,4.45,1.36,5.0,3.33,2.8280000000000003
chicago,usa illinois chicago the ritz carlton chicago a four seasons hotel,0.0,4.57,0.0,5.0,5.0,2.914
chicago,usa illinois chicago the silversmith hotel suites,2.04,4.78,2.69,5.0,3.33,3.568
chicago,usa illinois chicago the sutton place hotel,0.45,4.82,0.56,5.0,5.0,3.166
chicago,usa illinois chicago the talbott hotel,0.0,4.73,1.25,5.0,3.57,2.91
chicago,usa illinois chicago the tremont chicago,2.19,3.08,0.0,4.52,5.0,2.9579999999999997
chicago,usa illinois chicago the westin chicago river north,0.0,4.87,5.0,5.0,5.0,3.974
chicago,usa illinois chicago the westin michigan avenue chicago,0.0,4.37,1.5,5.0,3.89,2.9520000000000004
chicago,usa illinois chicago the whitehall hotel,1.25,3.46,1.0,4.73,5.0,3.088
chicago,usa illinois chicago the willows,0.0,4.63,1.67,5.0,0.0,2.2600000000000002
chicago,usa illinois chicago travelodge chicago downtown,2.6,3.61,0.0,4.68,0.0,2.178
chicago,usa illinois chicago trump international hotel tower chicago,0.0,3.33,2.14,5.0,5.0,3.0940000000000003
chicago,usa illinois chicago union league club,5.0,1.67,0.0,5.0,0.0,2.334
chicago,usa illinois chicago westin chicago northwest,0.0,4.47,5.0,5.0,0.0,2.8939999999999997
chicago,usa illinois chicago wheeler mansion,0.0,5.0,5.0,3.33,0.0,2.666
chicago,usa illinois chicago willows hotel chicago,0.0,5.0,0.0,5.0,0.0,2.0
chicago,usa illinois chicago wyndham chicago,0.74,4.38,1.25,5.0,5.0,3.274
chicago,usa illinois chicago w chicago city center,0.0,3.16,0.0,4.38,4.09,2.3259999999999996
chicago,usa illinois chicago w chicago lakeshore,0.0,3.03,0.33,5.0,5.0,2.6719999999999997
dubai,are dubai abc almanar hotel apartment,5.0,5.0,0.0,5.0,0.0,3.0
dubai,are dubai admiral plaza hotel,3.89,4.58,2.5,5.0,0.0,3.194
dubai,are dubai al bustan centre residence,0.0,3.75,0.0,0.0,5.0,1.75
dubai,are dubai al bustan rotana dubai,0.15,5.0,5.0,5.0,5.0,4.029999999999999
dubai,are dubai al hijaz heritage motel,1.67,5.0,0.0,5.0,5.0,3.3340000000000005
dubai,are dubai al jawhara gardens hotel,0.0,2.5,0.0,0.0,0.0,0.5
dubai,are dubai al khaleej hotel,5.0,5.0,0.0,5.0,0.0,3.0
dubai,are dubai al khaleej palace hotel,0.0,0.0,0.0,5.0,0.0,1.0
dubai,are dubai al maha desert resort,0.0,4.0,0.0,5.0,3.0,2.4
dubai,are dubai al manzil hotel,2.06,5.0,3.0,5.0,5.0,4.0120000000000005
dubai,are dubai al murooj rotana dubai,0.42,5.0,0.0,3.0,0.0,1.684
dubai,are dubai al qasr at madinat jumeirah,0.0,4.84,2.5,4.67,4.44,3.29
dubai,are dubai ambassador hotel,5.0,5.0,0.0,5.0,0.0,3.0
dubai,are dubai angsana dubai,5.0,2.14,0.0,0.0,5.0,2.428
dubai,are dubai arabian courtyard hotel spa,2.02,4.77,3.0,4.32,5.0,3.822
dubai,are dubai arabian court at one and only royal mirage,0.0,5.0,0.0,0.0,5.0,2.0
dubai,are dubai arabian dreams hotel apartments,5.0,3.57,0.0,0.0,0.0,1.714
dubai,are dubai arabian park hotel,3.1,5.0,5.0,5.0,5.0,4.62
dubai,are dubai arjaan dubai media city,0.0,5.0,5.0,5.0,5.0,4.0
dubai,are dubai ascot hotel,0.0,1.25,5.0,5.0,5.0,3.25
dubai,are dubai astoria hotel,0.0,0.0,0.0,0.0,0.0,0.0
dubai,are dubai atlantis the palm,0.0,4.62,0.0,5.0,5.0,2.9240000000000004
dubai,are dubai avari dubai hotel,1.67,4.09,5.0,5.0,0.0,3.152
dubai,are dubai baniyas square by le meridien,5.0,2.5,0.0,0.0,0.0,1.5
dubai,are dubai beit al bahar,0.0,0.0,0.0,5.0,0.0,1.0
dubai,are dubai belvedere court hotel apartments,5.0,5.0,0.0,0.0,0.0,2.0
dubai,are dubai bonnington jumeirah lakes towers,1.67,5.0,0.0,5.0,5.0,3.3340000000000005
dubai,are dubai burjuman arjaan dubai,0.38,5.0,0.0,5.0,0.0,2.0759999999999996
dubai,are dubai burj al arab,0.0,3.21,0.0,5.0,5.0,2.6420000000000003
dubai,are dubai capitol hotel,0.0,5.0,0.0,0.0,0.0,1.0
dubai,are dubai chelsea hotel,3.89,5.0,0.0,5.0,0.0,2.778
dubai,are dubai chelsea tower hotel apartments,1.25,5.0,0.0,5.0,5.0,3.25
